    600.11      240.76        0.71       30.27        0.00        0.03     1544.48
   1233.08      294.01        0.67       32.91        0.02        0.02     3173.53
   2321.24      350.76        0.71       35.45        0.01        0.01     5974.06
    210.92      510.21        1.26       22.64        0.15        0.15      542.83
   1939.36      608.21        0.79       30.62        0.01        0.01     4991.23
    145.70      767.45        0.72       18.36        0.10        0.09      374.98
    104.42      784.82        1.46       41.37        0.48        0.41      268.74
    101.50      910.24        1.21       16.12        0.21        0.19      261.22
    108.45      933.21        0.73       20.54        0.14        0.12      279.11
    561.44     1119.27        1.02       19.79        0.04        0.04     1444.95
    240.79     1237.05        1.03       16.06        0.08        0.07      619.70
    185.45     1376.23        1.05       31.93        0.20        0.11      477.29
   1676.19     1459.72        1.09       27.53        0.02        0.02     4313.93
    239.80     1237.05        1.03       15.48        0.07        0.06      617.17
     43.58     1660.15        1.10        6.36        0.18        0.15      112.15
    137.50     1728.54        1.05       10.38        0.10        0.06      353.87
    632.65     1763.33        1.28       26.92        0.07        0.04     1628.22
     88.61     1846.04        1.20       13.49        0.21        0.14      228.05
     39.94     2102.27        1.58        8.13        0.33        0.29      102.79
     45.62     2117.31        1.23        6.02        0.18        0.15      117.40
    206.43     2202.72        1.27       12.10        0.09        0.06      531.27
     54.01     2446.25        1.36        7.54        0.21        0.14      139.01
    409.64     2613.27        1.47       13.99        0.05        0.04     1054.28
