518.5			240.8		2		235.3		244.4
1018.16		294.85	1.15		291		298
1535.7		351.71	1.25		345.85	356.93
151.9			510 		2.5		499		517
1103.6		609.6		1.5		603		615
135.2			768.8		2		765		774
70.3			785.3		1.5		781.8		789.5
78			911.4		2		904		915
96			935		1.25		931		935.7
290			1121		1.5		1115.5	1127
114			1239		2		1232.9	1242.2
88			1379.2	2		1373.8	1384.3
641.5			1462.3	2		1455		1467
44			1508.7 	2.25 		1502		1514
25			1662		2.34		1655		1668
52.8			1730.5	2.5		1725		1735
240			1766		2.25		1760		1771
35			1848.7	2.25		1843.25	1855.5
16			2101		3		2096		2107
24			2119.5	3		2113.5	2126.5
65			2205.5	3		2199		2213
23			2449.3	2.25		2442.8	2457
118			2616.5	3		2605		2622
