    569.36      240.80        0.70       28.77        0.04        0.03     1465.33
   1233.09      294.02        0.67       32.91        0.02        0.02     3173.54
   2321.25      350.77        0.71       35.45        0.01        0.01     5974.06
    429.50      511.97        3.78        0.14        0.00        0.28     1105.37
   1939.36      608.21        0.79       30.62        0.01        0.01     4991.22
    145.70      767.46        0.72       18.37        0.10        0.09      374.98
     36.78      785.52        0.89       18.69        0.00        0.40       94.66
     99.46      910.24        1.18       21.32        0.00        0.21      255.98
    130.26      932.78        0.96       19.72        0.00        0.20      335.25
    561.44     1119.28        1.02       19.79        0.04        0.04     1444.95
    120.38     1237.79        0.90       14.31        0.00        0.09      309.81
    185.45     1376.24        1.05       31.93        0.20        0.11      477.27
   1676.20     1459.74        1.09       27.53        0.02        0.02     4313.92
     71.91     1508.44        0.85        8.19        0.11        0.08      185.06
     43.57     1660.16        1.10        6.36        0.18        0.15      112.15
    137.50     1728.55        1.05       10.38        0.10        0.06      353.88
    630.74     1763.36        1.28       20.18        0.05        0.04     1623.29
     88.61     1846.06        1.20       13.50        0.21        0.14      228.05
     31.15     2102.33        1.33       10.99        0.52        0.28       80.17
     45.62     2117.33        1.23        6.02        0.18        0.15      117.40
    206.43     2202.74        1.27       12.10        0.09        0.06      531.27
     54.01     2446.27        1.36        7.54        0.21        0.14      139.01
    419.16     2613.28        1.42       22.84        0.00        0.06     1078.78
